sequence_id,start_frame,end_frame,start_time,end_time,duration
372,97772,98022,1631.164 sec,1635.335 sec,4.171 sec
373,98022,98302,1635.335 sec,1640.007 sec,4.671 sec
374,98302,98555,1640.007 sec,1644.228 sec,4.221 sec
375,98555,98695,1644.228 sec,1646.563 sec,2.336 sec
376,98695,98900,1646.563 sec,1649.983 sec,3.420 sec
377,98900,99382,1649.983 sec,1658.025 sec,8.041 sec
378,99382,99495,1658.025 sec,1659.910 sec,1.885 sec
379,99495,99572,1659.910 sec,1661.195 sec,1.285 sec
380,99572,99997,1661.195 sec,1668.285 sec,7.090 sec
381,99997,100122,1668.285 sec,1670.370 sec,2.085 sec
382,100122,100420,1670.370 sec,1675.342 sec,4.972 sec
383,100420,100512,1675.342 sec,1676.877 sec,1.535 sec
384,100512,100957,1676.877 sec,1684.301 sec,7.424 sec
385,100957,101175,1684.301 sec,1687.938 sec,3.637 sec
386,101175,101210,1687.938 sec,1688.522 sec,0.584 sec
387,101210,101280,1688.522 sec,1689.690 sec,1.168 sec
388,101280,101367,1689.690 sec,1691.141 sec,1.451 sec
389,101367,101450,1691.141 sec,1692.526 sec,1.385 sec
390,101450,101567,1692.526 sec,1694.478 sec,1.952 sec
391,101567,101685,1694.478 sec,1696.446 sec,1.969 sec
392,101685,101820,1696.446 sec,1698.699 sec,2.252 sec
393,101820,102005,1698.699 sec,1701.785 sec,3.086 sec
394,102005,102297,1701.785 sec,1706.657 sec,4.872 sec
395,102297,102377,1706.657 sec,1707.991 sec,1.335 sec
396,102377,103140,1707.991 sec,1720.721 sec,12.729 sec
397,103140,103250,1720.721 sec,1722.556 sec,1.835 sec
398,103250,103402,1722.556 sec,1725.092 sec,2.536 sec
399,103402,103720,1725.092 sec,1730.397 sec,5.305 sec
400,103720,103890,1730.397 sec,1733.233 sec,2.836 sec
401,103890,104722,1733.233 sec,1747.114 sec,13.881 sec
402,104722,104892,1747.114 sec,1749.950 sec,2.836 sec
403,104892,105220,1749.950 sec,1755.422 sec,5.472 sec
404,105220,105382,1755.422 sec,1758.125 sec,2.703 sec
405,105382,105707,1758.125 sec,1763.547 sec,5.422 sec
406,105707,105947,1763.547 sec,1767.551 sec,4.004 sec
407,105947,106120,1767.551 sec,1770.437 sec,2.886 sec
408,106120,106472,1770.437 sec,1776.310 sec,5.873 sec
409,106472,106550,1776.310 sec,1777.611 sec,1.301 sec
410,106550,106790,1777.611 sec,1781.615 sec,4.004 sec
411,106790,107005,1781.615 sec,1785.202 sec,3.587 sec
412,107005,107625,1785.202 sec,1795.546 sec,10.344 sec
413,107625,107807,1795.546 sec,1798.582 sec,3.036 sec
414,107807,108147,1798.582 sec,1804.254 sec,5.672 sec
415,108147,108802,1804.254 sec,1815.182 sec,10.928 sec
416,108802,108955,1815.182 sec,1817.734 sec,2.553 sec
417,108955,110017,1817.734 sec,1835.452 sec,17.718 sec
418,110017,110205,1835.452 sec,1838.589 sec,3.136 sec
419,110205,110520,1838.589 sec,1843.844 sec,5.255 sec
420,110520,110747,1843.844 sec,1847.631 sec,3.787 sec
421,110747,110892,1847.631 sec,1850.050 sec,2.419 sec
422,110892,110977,1850.050 sec,1851.468 sec,1.418 sec
423,110977,111222,1851.468 sec,1855.556 sec,4.087 sec
424,111222,111290,1855.556 sec,1856.690 sec,1.134 sec
425,111290,111639,1856.690 sec,1862.513 sec,5.822 sec
426,111639,112289,1862.513 sec,1873.357 sec,10.844 sec
427,112289,112439,1873.357 sec,1875.859 sec,2.503 sec
428,112439,112576,1875.859 sec,1878.145 sec,2.286 sec
429,112576,112671,1878.145 sec,1879.730 sec,1.585 sec
430,112671,113176,1879.730 sec,1888.155 sec,8.425 sec
431,113176,113269,1888.155 sec,1889.706 sec,1.552 sec
432,113269,113377,1889.706 sec,1891.508 sec,1.802 sec
433,113377,113561,1891.508 sec,1894.578 sec,3.070 sec
434,113561,113671,1894.578 sec,1896.413 sec,1.835 sec
435,113671,114061,1896.413 sec,1902.920 sec,6.507 sec
436,114061,114221,1902.920 sec,1905.589 sec,2.669 sec
437,114221,114866,1905.589 sec,1916.350 sec,10.761 sec
438,114866,115751,1916.350 sec,1931.114 sec,14.765 sec
439,115751,116266,1931.114 sec,1939.706 sec,8.592 sec
440,116266,116417,1939.706 sec,1942.226 sec,2.519 sec
441,116417,116511,1942.226 sec,1943.794 sec,1.568 sec
442,116511,116577,1943.794 sec,1944.895 sec,1.101 sec
443,116577,116831,1944.895 sec,1949.132 sec,4.238 sec
444,116831,116929,1949.132 sec,1950.767 sec,1.635 sec
445,116929,118811,1950.767 sec,1982.165 sec,31.398 sec
446,118811,119119,1982.165 sec,1987.304 sec,5.138 sec
447,119119,119311,1987.304 sec,1990.507 sec,3.203 sec
448,119311,120376,1990.507 sec,2008.275 sec,17.768 sec
449,120376,120496,2008.275 sec,2010.277 sec,2.002 sec
450,120496,120999,2010.277 sec,2018.669 sec,8.392 sec
451,120999,121466,2018.669 sec,2026.460 sec,7.791 sec
452,121466,121536,2026.460 sec,2027.628 sec,1.168 sec
453,121536,121589,2027.628 sec,2028.512 sec,0.884 sec
454,121589,121684,2028.512 sec,2030.097 sec,1.585 sec
455,121684,121759,2030.097 sec,2031.348 sec,1.251 sec
456,121759,121824,2031.348 sec,2032.432 sec,1.084 sec
457,121824,122076,2032.432 sec,2036.637 sec,4.204 sec
458,122076,122106,2036.637 sec,2037.137 sec,0.501 sec
459,122106,122276,2037.137 sec,2039.973 sec,2.836 sec
460,122276,122356,2039.973 sec,2041.308 sec,1.335 sec
461,122356,122409,2041.308 sec,2042.192 sec,0.884 sec
462,122409,122431,2042.192 sec,2042.559 sec,0.367 sec
463,122431,122466,2042.559 sec,2043.143 sec,0.584 sec
464,122466,122526,2043.143 sec,2044.144 sec,1.001 sec
465,122526,122714,2044.144 sec,2047.281 sec,3.136 sec
